session_id,customer_id,session_date,product_viewed,browsing_time_sec,purchase_made,purchase_amount
SESS000187,CUST01479,2021-03-17,Shoes,256,1,711.83
SESS000188,CUST01195,2021-11-17,Laptop,21,0,0.0
SESS000189,CUST00576,2021-01-02,Headphones,801,1,147.31
SESS000190,CUST01607,2022-06-07,Laptop,132,0,0.0
SESS000191,CUST04370,2022-08-11,Phone,166,1,168.62
SESS000192,CUST00452,2021-04-02,Book,18,0,0.0
SESS000193,CUST00125,2022-09-01,Phone,49,1,123.66
SESS000194,CUST03455,2021-06-19,Camera,100,0,0.0
SESS000195,CUST02365,2023-02-10,Book,85,1,37.76
SESS000196,CUST01867,2023-03-20,Camera,109,0,0.0
SESS000197,CUST01684,2021-11-01,Laptop,113,0,0.0
SESS000198,CUST00907,2022-08-18,Phone,392,0,0.0
SESS000199,CUST03535,2021-03-23,Book,19,0,0.0
SESS000200,CUST00430,2021-10-20,Headphones,161,0,0.0
SESS000201,CUST02752,2021-12-14,Book,40,0,0.0
SESS000202,CUST03826,2021-08-11,Book,467,1,1295.42
SESS000203,CUST00362,2023-02-14,Phone,1446,0,0.0
SESS000204,CUST04892,2023-05-29,Camera,286,0,0.0
SESS000205,CUST00432,2021-02-07,Book,298,0,0.0
SESS000206,CUST02723,2022-03-18,Camera,2,0,0.0
SESS000207,CUST04955,2021-05-13,Laptop,202,0,0.0
SESS000208,CUST03062,2022-07-27,Bag,234,0,0.0
SESS000209,CUST03224,2022-08-18,Book,965,0,0.0
SESS000210,CUST01631,2021-07-24,Laptop,19,0,0.0
SESS000211,CUST04672,2023-07-24,Shoes,34,1,1501.24
SESS000212,CUST04989,2021-01-28,Book,142,0,0.0
SESS000213,CUST00270,2021-07-04,Laptop,165,0,0.0
SESS000214,CUST01124,2021-05-10,Headphones,253,0,0.0
SESS000215,CUST03177,2021-03-11,Camera,909,1,1955.78
SESS000216,CUST03393,2022-12-20,Laptop,282,0,0.0
SESS000217,CUST04534,2022-10-30,Camera,549,1,1684.7
SESS000218,CUST01043,2022-07-03,Unknown,261,0,0.0
SESS000219,CUST01642,2021-08-05,Laptop,194,0,0.0
SESS000220,CUST02442,2023-06-07,Phone,681,0,0.0
SESS000221,CUST03298,2022-08-31,Phone,7,0,0.0
SESS000222,CUST01384,2021-09-06,Phone,305,0,0.0
SESS000223,CUST03997,2022-11-26,Book,499,0,0.0
SESS000224,CUST00015,2022-09-05,Shoes,85,0,0.0
SESS000225,CUST01675,2023-01-10,Phone,17,0,0.0
SESS000226,CUST03618,2023-09-17,Phone,33,1,360.15
SESS000227,CUST01481,2022-04-17,,467,0,0.0
SESS000228,CUST01746,2021-12-04,Bag,59,0,0.0
SESS000229,CUST03047,2022-01-20,Laptop,70,0,0.0
SESS000230,CUST04211,2021-01-03,Book,185,1,534.03
SESS000231,CUST00976,2022-08-06,Headphones,96,0,0.0
SESS000232,CUST01686,2021-04-07,Phone,860,0,0.0
SESS000233,CUST02084,2022-08-20,Laptop,130,1,1446.7
SESS000234,CUST02290,2023-06-29,Shoes,32,0,0.0
SESS000235,CUST01687,2023-01-21,Phone,91,0,0.0
SESS000236,CUST04159,2022-11-19,Headphones,66,1,896.44
SESS000237,CUST00509,2023-03-16,Phone,145,1,1739.95
SESS000238,CUST00188,2022-10-05,Shoes,91,0,0.0
SESS000239,CUST02783,2022-05-22,Bag,917,1,659.23
SESS000240,CUST04189,2022-11-20,Headphones,703,1,1625.41
SESS000241,CUST04101,2022-09-05,Book,362,0,0.0
SESS000242,CUST03510,2022-03-16,Shoes,719,0,0.0
SESS000243,CUST03518,2022-12-30,Phone,310,0,0.0
SESS000244,CUST02073,2022-12-01,Phone,443,0,0.0
SESS000245,CUST00098,2021-09-03,Shoes,517,0,0.0
SESS000246,CUST01292,2021-12-19,Headphones,48,0,0.0
SESS000247,CUST03465,2021-09-26,Bag,316,0,0.0
SESS000248,CUST01788,2023-06-14,Shoes,227,0,0.0
SESS000249,CUST00684,2021-06-30,Shoes,598,0,0.0
SESS000250,CUST01133,2023-03-29,Laptop,288,1,1820.32
SESS000251,CUST04123,2023-09-20,Headphones,323,0,0.0
SESS000252,CUST03205,2022-04-22,Book,255,1,1966.85
SESS000253,CUST03124,2022-02-07,Book,94,0,0.0
SESS000254,CUST03837,2022-10-28,Laptop,245,0,0.0
SESS000255,CUST04877,2021-06-30,Book,1190,1,1109.5
SESS000256,CUST01615,2021-02-26,Book,299,1,1113.64
SESS000257,CUST01042,2022-02-26,Headphones,600,0,0.0
SESS000258,CUST02866,2023-06-24,Phone,217,0,0.0
SESS000259,CUST00855,2021-02-15,Book,169,0,0.0
SESS000260,CUST02027,2023-05-12,Phone,98,0,0.0
SESS000261,CUST01988,2021-03-27,Bag,1151,0,0.0
SESS000262,CUST02551,2023-01-17,Shoes,915,1,1662.64
SESS000263,CUST00240,2022-01-23,Book,608,1,1336.24
SESS000264,CUST00490,2023-08-25,Phone,574,0,0.0
SESS000265,CUST03852,2023-06-12,Phone,198,0,0.0
SESS000266,CUST01037,2022-08-17,Shoes,306,0,0.0
SESS000267,CUST01339,2021-06-27,Book,17,1,656.59
SESS000268,CUST04781,2023-04-18,Phone,9,0,0.0
SESS000269,CUST03270,2021-04-03,Phone,110,0,0.0
SESS000270,CUST02555,2023-06-20,Book,283,0,0.0
SESS000271,CUST03501,2022-12-11,Shoes,395,1,1331.68
SESS000272,CUST03863,2021-06-11,Headphones,154,0,0.0
SESS000273,CUST01768,2021-08-14,Book,450,0,0.0
SESS000274,CUST04709,2021-07-12,Phone,553,0,0.0
SESS000275,CUST00162,2021-05-26,Shoes,123,0,0.0
SESS000276,CUST00656,2021-09-11,Shoes,1071,0,0.0
SESS000277,CUST03007,2023-03-06,Bag,97,0,0.0
SESS000278,CUST04717,2022-06-06,Camera,276,1,1816.47
SESS000279,CUST03507,2022-05-02,,65,0,0.0
SESS000280,CUST01257,2022-10-04,Book,332,0,0.0
SESS000281,CUST02159,2022-04-12,Laptop,13,0,0.0
SESS000282,CUST01952,2023-09-14,Laptop,301,1,1955.54
SESS000283,CUST00750,2022-03-21,Laptop,991,0,0.0
SESS000284,CUST00709,2023-06-05,Shoes,131,0,0.0
SESS000285,CUST01622,2022-02-10,Laptop,496,0,0.0
SESS000286,CUST04137,2023-06-25,Shoes,74,0,0.0
SESS000287,CUST04656,2021-11-11,Book,263,0,0.0
SESS000288,CUST00466,2023-06-08,Phone,56,1,1774.15
SESS000289,CUST03996,2021-04-01,Shoes,589,0,0.0
SESS000290,CUST01101,2022-01-31,Laptop,30,1,545.04
SESS000291,CUST01714,2021-03-04,Laptop,464,0,0.0
SESS000292,CUST04586,2021-01-15,Shoes,396,1,1998.71
SESS000293,CUST00117,2023-01-24,Laptop,649,0,0.0
SESS000294,CUST02482,2023-08-17,Headphones,197,0,0.0
SESS000295,CUST00196,2022-12-06,Laptop,731,0,0.0
SESS000296,CUST04715,2022-02-26,Book,206,0,0.0
SESS000297,CUST01475,2023-05-23,Book,180,1,1122.56
SESS000298,CUST02473,2021-08-04,Phone,37,0,0.0
SESS000299,CUST04130,2023-02-13,Phone,656,0,0.0
SESS000300,CUST03055,2023-01-03,Laptop,560,0,0.0
SESS000301,CUST01275,2021-05-14,,41,0,0.0
SESS000302,CUST03710,2021-10-21,Laptop,65,0,0.0
SESS000303,CUST00339,2023-03-27,Shoes,121,0,0.0
SESS000304,CUST03512,2022-06-11,Book,68,0,0.0
SESS000305,CUST04276,2021-11-24,Phone,235,0,0.0
SESS000306,CUST04718,2022-06-25,Book,53,1,1905.97
SESS000307,CUST03300,2021-09-15,Phone,621,0,0.0
SESS000308,CUST01657,2023-04-23,Phone,586,1,1618.43
SESS000309,CUST00643,2022-12-14,Phone,194,0,0.0
SESS000310,CUST01681,2023-07-01,Laptop,241,0,0.0
SESS000311,CUST01351,2022-03-18,Laptop,90,0,0.0
SESS000312,CUST00619,2022-08-23,Headphones,358,0,0.0
SESS000313,CUST01170,2021-06-11,Laptop,284,0,0.0
SESS000314,CUST00252,2022-03-03,Camera,749,1,108.61
SESS000315,CUST00302,2021-01-24,Phone,11,0,0.0
SESS000316,CUST03142,2021-08-29,Laptop,203,0,0.0
SESS000317,CUST01567,2023-09-25,Shoes,283,0,0.0
SESS000318,CUST03165,2021-04-12,Phone,261,1,1333.34
SESS000319,CUST03958,2021-10-08,Laptop,511,1,770.58
SESS000320,CUST02211,2022-03-01,Headphones,231,1,1262.55
SESS000321,CUST03153,2022-09-21,Book,8,0,0.0
SESS000322,CUST03660,2022-06-29,Laptop,1433,0,0.0
SESS000323,CUST00612,2023-05-26,Bag,470,0,0.0
SESS000324,CUST01944,2023-02-05,Bag,26,0,0.0
SESS000325,CUST00074,2021-10-26,,903,0,0.0
SESS000326,CUST02874,2021-01-17,Headphones,306,0,0.0
SESS000327,CUST04638,2021-01-07,Phone,149,0,0.0
SESS000328,CUST00157,2023-08-13,Headphones,69,0,0.0
SESS000329,CUST03559,2022-06-23,Phone,542,0,0.0
SESS000330,CUST00256,2022-07-02,Laptop,31,0,0.0
SESS000331,CUST03111,2022-02-07,Headphones,348,0,0.0
SESS000332,CUST01052,2021-09-28,Shoes,247,1,676.39
SESS000333,CUST02418,2021-03-11,Camera,591,0,0.0
SESS000334,CUST02257,2021-07-04,Laptop,144,0,0.0
SESS000335,CUST02635,2021-08-16,Shoes,44,0,0.0
SESS000336,CUST02897,2021-03-10,Phone,53,0,0.0
SESS000337,CUST01892,2022-07-19,Shoes,288,0,0.0
SESS000338,CUST03684,2021-08-25,Laptop,166,0,0.0
SESS000339,CUST04412,2021-07-16,Laptop,149,0,0.0
SESS000340,CUST03465,2022-05-29,Shoes,511,0,0.0
SESS000341,CUST02492,2021-04-17,Shoes,53,0,0.0
SESS000342,CUST03740,2021-05-26,Laptop,481,1,1583.75
SESS000343,CUST01776,2021-06-09,Bag,324,0,0.0
SESS000344,CUST03937,2021-08-27,Shoes,846,0,0.0
SESS000345,CUST01971,2022-01-04,Camera,295,0,0.0
SESS000346,CUST03720,2021-05-06,Book,123,1,353.76
SESS000347,CUST03954,2021-06-06,Headphones,58,0,0.0
SESS000348,CUST02493,2023-03-28,Shoes,5,0,0.0
SESS000349,CUST04666,2022-04-13,Shoes,766,0,0.0
SESS000350,CUST00649,2022-04-12,Camera,193,1,351.39
SESS000351,CUST01641,2023-06-03,Headphones,1,0,0.0
SESS000352,CUST04435,2022-12-21,Laptop,757,0,0.0
SESS000353,CUST00529,2022-12-16,Shoes,1456,0,0.0
SESS000354,CUST02102,2021-11-12,Shoes,969,0,0.0
SESS000355,CUST00419,2022-10-01,Laptop,25,0,0.0
SESS000356,CUST02353,2023-03-07,Book,92,0,0.0
SESS000357,CUST03510,2021-12-08,Phone,46,0,0.0
SESS000358,CUST00085,2021-06-04,Shoes,37,0,0.0
SESS000359,CUST02300,2023-09-04,Camera,367,0,0.0
SESS000360,,2021-05-16,Headphones,107,0,0.0
SESS000361,CUST04222,2022-04-01,Book,64,0,0.0
SESS000362,CUST02658,2022-10-25,Laptop,439,0,0.0
SESS000363,CUST03976,2021-02-01,Shoes,505,0,0.0
SESS000364,CUST02352,2021-01-15,Headphones,600,1,787.61
SESS000365,CUST03100,2023-05-09,Book,460,1,1511.34
SESS000366,CUST01290,2021-05-08,Book,292,1,1361.42
SESS000367,CUST03124,2022-01-14,Laptop,7,0,0.0
SESS000368,CUST02703,2023-08-22,Headphones,109,0,0.0
SESS000369,CUST00644,2022-02-28,Laptop,435,1,1235.18
SESS000370,CUST02906,2021-04-06,Shoes,84,0,0.0
SESS000371,CUST04068,2021-11-09,Shoes,786,0,0.0
SESS000372,CUST04064,2023-03-26,Phone,700,1,1417.77
SESS000373,CUST04670,2022-09-05,Book,320,0,0.0
SESS000374,CUST02923,2021-04-28,Bag,630,0,0.0
SESS000375,CUST02022,2022-06-06,Laptop,228,0,0.0
SESS000376,CUST03625,2023-08-10,Shoes,28,0,0.0
SESS000377,CUST02871,2021-04-27,Laptop,667,0,0.0
SESS000378,CUST03119,2021-12-14,Shoes,39,0,0.0
SESS000379,CUST00137,2021-06-29,Shoes,507,0,0.0
SESS000380,CUST04226,2021-08-12,Phone,754,0,0.0
SESS000381,CUST01219,2021-08-12,Book,193,0,0.0
SESS000382,CUST01018,2021-09-05,Book,118,0,0.0
SESS000383,CUST03701,2021-09-11,Headphones,386,0,0.0
SESS000384,CUST04528,2021-11-15,Camera,89,0,0.0
SESS000385,CUST03141,2023-08-05,Headphones,19,0,0.0
SESS000386,CUST03530,2023-09-02,Bag,3,0,0.0
SESS000387,CUST02588,2023-04-18,Laptop,45,0,0.0
SESS000388,CUST02383,2022-10-11,Laptop,300,0,0.0
SESS000389,CUST02606,2023-01-12,Phone,255,0,0.0
SESS000390,CUST03088,2023-05-12,Book,266,0,0.0
SESS000391,CUST03528,2022-07-07,Camera,67,0,0.0
SESS000392,CUST02558,2022-07-06,Phone,258,0,0.0
SESS000393,CUST00209,2023-02-23,Phone,252,1,350.11
SESS000394,CUST03811,2023-02-03,Book,1047,0,0.0
SESS000395,CUST04154,2021-01-25,Shoes,139,1,1905.74
SESS000396,CUST02008,2021-05-18,Camera,309,0,0.0
SESS000397,CUST02864,2023-07-15,Camera,519,0,0.0
SESS000398,CUST03377,2021-01-09,Phone,158,0,0.0
SESS000399,CUST01369,2023-03-19,Bag,91,1,775.25
SESS000400,CUST03801,2022-07-23,Headphones,529,0,0.0
SESS000401,CUST01038,2021-10-29,Bag,137,1,1163.58
SESS000402,CUST04473,2022-09-23,Camera,667,0,0.0
SESS000403,CUST02291,2023-02-14,Shoes,818,1,1355.5
SESS000404,CUST00993,2021-06-20,Headphones,82,0,0.0
SESS000405,CUST02939,2023-06-03,Bag,441,1,289.28
SESS000406,CUST04511,2022-05-27,Shoes,90,0,0.0
SESS000407,CUST00394,2023-06-15,Laptop,136,0,0.0
SESS000408,CUST03687,2023-08-02,Book,649,0,0.0
SESS000409,CUST04825,2022-01-04,Shoes,106,1,1729.99
SESS000410,CUST00358,2022-05-26,Laptop,54,0,0.0
SESS000411,CUST04005,2022-01-10,Laptop,73,0,0.0
SESS000412,CUST01182,2023-05-22,Laptop,237,1,352.27
SESS000413,CUST02066,2021-07-23,Headphones,252,0,0.0
SESS000414,CUST03903,2021-02-26,Headphones,954,0,0.0
SESS000415,CUST03419,2022-10-19,Laptop,42,0,0.0
SESS000416,CUST03130,2021-01-25,Phone,1062,1,223.34
SESS000417,CUST00155,2022-09-15,,869,1,87.39
SESS000418,CUST03559,2022-01-26,Shoes,242,1,1171.62
SESS000419,CUST01555,2021-02-24,Book,147,0,0.0
SESS000420,CUST00487,2021-05-27,Shoes,79,1,1193.29
SESS000421,CUST01383,2023-09-04,Shoes,505,0,0.0
SESS000422,CUST02416,2022-06-28,Book,614,1,420.8
SESS000423,CUST01071,2021-03-28,,912,0,0.0
SESS000424,CUST02255,2022-11-03,Laptop,719,0,0.0
SESS000425,CUST01507,2023-07-11,Bag,618,0,0.0
SESS000426,CUST01876,2021-03-13,Shoes,533,1,861.66
SESS000427,CUST02191,2022-06-18,Shoes,371,0,0.0
SESS000428,CUST01071,2023-01-20,Phone,84,0,0.0
SESS000429,CUST00191,2022-11-26,Book,72,0,0.0
SESS000430,CUST00140,2023-08-11,Phone,39,0,0.0
SESS000431,CUST04711,2021-05-16,Laptop,53,0,0.0
SESS000432,CUST04011,2021-02-15,Headphones,190,0,0.0
SESS000433,CUST03412,2022-06-01,,132,0,0.0
SESS000434,CUST02973,2021-01-12,Phone,361,1,439.55
SESS000435,CUST01515,2021-01-27,Shoes,60,0,0.0
SESS000436,CUST03121,2021-03-25,Laptop,231,1,27.37
SESS000437,CUST03971,2023-06-26,Phone,394,1,1076.01
SESS000438,CUST04720,2022-07-02,Book,104,1,1478.24
SESS000439,CUST03525,2021-02-21,Book,226,1,550.02
SESS000440,CUST01346,2022-10-04,Phone,20,1,1210.62
SESS000441,CUST04183,2021-03-15,Shoes,983,1,1465.89
SESS000442,CUST01918,2022-05-05,Book,72,0,0.0
