customer_id,age,gender,location,signup_date
CUST00060,61,Female,India,2020-03-04
CUST00061,25,Male,Germany,2023-05-26
CUST00062,64,Female,US,2022-12-31
CUST00063,52,Male,Brazil,2022-09-16
CUST00064,31,Male,Germany,2020-06-10
CUST00065,34,Female,US,2020-05-09
CUST00066,53,Female,Germany,2021-08-03
CUST00067,67,Male,UK,2020-08-12
CUST00068,57,Female,Ghana,2021-08-02
CUST00069,21,Male,Germany,2024-01-17
CUST00070,19,Male,,2022-09-09
CUST00071,23,Male,US,2022-10-01
CUST00072,59,Male,Ghana,2023-11-08
CUST00073,21,Female,Ghana,2020-04-16
CUST00074,46,Male,UK,2021-09-12
CUST00075,35,Female,UK,2022-04-19
CUST00076,43,Female,US,2023-01-31
CUST00077,61,Male,India,2023-03-10
CUST00078,51,Female,Ghana,2021-07-30
CUST00079,27,Male,US,2023-03-03
CUST00080,53,Female,Germany,2020-07-17
CUST00081,31,Male,Germany,2021-05-24
CUST00082,48,Male,Ghana,2021-10-28
CUST00083,65,Male,UK,2020-03-19
CUST00084,32,Male,India,2022-06-12
CUST00085,25,Male,UK,2021-05-26
CUST00086,31,Female,US,2020-09-06
CUST00087,40,Female,Germany,2022-06-07
CUST00088,57,Female,US,2022-10-20
CUST00089,38,Female,US,2021-08-21
CUST00090,33,Male,US,2022-01-22
CUST00091,62,Male,US,2021-08-22
CUST00092,35,Male,US,2022-09-01
CUST00093,64,Male,,2021-04-27
CUST00094,41,Female,UK,2022-04-15
CUST00095,43,Female,US,2020-06-20
CUST00096,42,Male,US,2022-05-18
CUST00097,62,Male,Brazil,2020-01-17
CUST00098,58,Female,India,2023-08-10
CUST00099,46,Female,UK,2021-01-28
CUST00100,32,Male,Brazil,2023-05-27
CUST00101,62,Female,UK,2020-08-21
CUST00102,18,Female,UK,2023-11-14
CUST00103,42,Male,US,2020-09-04
CUST00104,24,Male,UK,2020-02-21
CUST00105,26,Female,UK,2020-01-15
CUST00106,41,Female,India,2023-09-09
CUST00107,18,Female,UK,2021-03-16
CUST00108,61,Male,India,2023-02-09
CUST00109,25,Male,US,2021-11-26
CUST00110,41,Female,US,2020-01-07
CUST00111,28,Female,Ghana,2022-04-05
CUST00112,68,Male,Brazil,2023-06-22
CUST00113,34,Female,UK,2024-01-11
CUST00114,25,Female,India,2023-10-20
CUST00115,52,Female,UK,2023-10-22
CUST00116,52,Female,US,2023-08-03
CUST00117,50,Female,US,2023-02-03
CUST00118,22,Male,UK,2022-11-02
CUST00119,59,Female,US,2023-03-15
CUST00120,56,Male,US,2021-04-22
CUST00121,58,Female,Germany,2021-09-22
CUST00122,45,Male,US,2021-12-15
CUST00123,24,Female,India,2020-04-24
CUST00124,26,Male,UK,2021-05-23
CUST00125,25,Male,India,2023-03-21
CUST00126,29,Male,India,2020-02-26
CUST00127,51,Male,UK,2021-01-16
CUST00128,50,Female,UK,2023-03-26
CUST00129,65,Female,Germany,2022-08-09
CUST00130,40,Female,Brazil,2023-03-02
CUST00131,41,Male,US,2023-04-01
CUST00132,54,Male,US,2020-10-01
CUST00133,52,Male,Brazil,2023-01-05
CUST00134,61,Male,UK,2020-02-13
CUST00135,57,Female,India,2021-12-18
CUST00136,39,Male,UK,2020-11-13
CUST00137,44,Male,US,2021-06-17
CUST00138,52,Male,India,2023-03-23
CUST00139,18,Male,India,2020-08-24
CUST00140,52,Female,US,2022-06-11
CUST00141,54,Female,Ghana,2021-05-31
CUST00142,64,Male,Germany,2023-05-29
CUST00143,31,Male,India,2023-08-26
CUST00144,20,Male,US,2023-04-15
CUST00145,18,Male,India,2023-05-28
CUST00146,22,Male,Germany,2020-02-07
CUST00147,43,Female,Germany,2021-10-15
CUST00148,31,Female,India,2023-12-25
CUST00149,56,Female,US,2022-01-16
CUST00150,44,Male,Germany,2023-05-11
CUST00151,26,Male,India,2022-04-20
CUST00152,32,Female,US,2021-03-23
CUST00153,32,Female,Ghana,2021-11-14
CUST00154,43,Female,UK,2020-05-04
CUST00155,59,Male,India,2022-12-24
CUST00156,30,Female,US,2022-03-03
CUST00157,68,Male,India,2022-02-22
CUST00158,49,Female,Brazil,2023-06-21
CUST00159,56,Female,Germany,2020-08-13
CUST00160,66,Female,Brazil,2021-04-09
CUST00161,69,Male,,2021-10-04
CUST00162,49,Female,US,2020-10-19
CUST00163,21,Male,India,2021-12-21
CUST00164,47,Male,Ghana,2023-11-05
CUST00165,54,Male,Brazil,2022-01-25
CUST00166,40,Female,UK,2020-06-14
CUST00167,56,Male,,2022-02-07
CUST00168,62,Male,India,2023-05-26
CUST00169,32,Female,Germany,2022-10-03
CUST00170,60,Male,US,2022-05-20
CUST00171,46,Female,US,2023-07-22
CUST00172,53,Male,Germany,2022-12-11
CUST00173,30,Male,US,2023-10-29
CUST00174,49,Female,Germany,2023-10-18
CUST00175,24,Male,US,2021-07-20
CUST00176,68,Male,India,2022-11-03
CUST00177,39,Female,UK,2023-09-25
CUST00178,45,Female,India,2021-08-24
CUST00179,19,Female,India,2023-01-17
CUST00180,59,Male,UK,2022-06-23
CUST00181,62,Male,US,2020-02-10
CUST00182,23,Female,US,2023-08-20
CUST00183,45,Female,India,2023-07-15
CUST00184,45,Female,India,2023-03-07
CUST00185,61,Female,Germany,2022-10-26
CUST00186,61,Female,India,2020-08-29
CUST00187,37,Female,Ghana,2020-06-10
CUST00188,47,Male,UK,2022-10-15
CUST00189,28,Female,US,2021-11-22
CUST00190,45,Male,UK,2022-03-19
CUST00191,42,Male,,2022-09-05
CUST00192,56,Female,Brazil,2021-06-01
CUST00193,50,Female,UK,2022-06-16
CUST00194,18,Male,India,2022-02-21
CUST00195,44,Male,Germany,2023-11-25
CUST00196,69,Male,Ghana,2022-02-22
CUST00197,30,Female,US,2023-03-25
CUST00198,58,Female,US,2020-03-25
CUST00199,20,Male,India,2022-10-30
CUST00200,56,Male,,2020-05-17
CUST00201,23,Female,India,2022-01-23
CUST00202,25,Male,US,2022-06-24
CUST00203,44,Female,US,2021-12-13
CUST00204,26,Other,Germany,2020-06-04
CUST00205,54,Male,Germany,2021-02-11
CUST00206,50,Female,India,2022-02-25
CUST00207,68,Male,India,2023-06-02
CUST00208,59,Male,US,2021-08-02
CUST00209,61,Female,Germany,2023-04-22
CUST00210,41,Male,Germany,2023-05-03
CUST00211,32,,UK,2021-07-07
CUST00212,49,Female,Germany,2021-01-30
CUST00213,49,Male,US,2023-03-03
CUST00214,41,Male,US,2023-08-25
CUST00215,58,Male,US,2022-03-20
CUST00216,69,Male,US,2022-08-19
CUST00217,66,Male,UK,2021-06-25
CUST00218,66,Male,Ghana,2022-10-29
CUST00219,69,Male,India,2022-09-13
CUST00220,29,Female,Ghana,2020-06-18
CUST00221,56,Female,UK,2020-10-16
CUST00222,19,Female,US,2023-04-06
CUST00223,20,Male,India,2023-09-29
CUST00224,66,Male,UK,2023-03-14
CUST00225,54,Female,UK,2023-12-07
CUST00226,66,Female,Brazil,2022-01-09
CUST00227,34,Male,Germany,2021-08-10
CUST00228,66,Female,Brazil,2022-01-04
CUST00229,19,Female,Ghana,2021-04-01
CUST00230,19,Female,US,2021-12-01
CUST00231,45,Male,India,2022-09-05
CUST00232,40,Female,US,2023-08-18
CUST00233,54,Female,Ghana,2020-02-15
CUST00234,49,Female,US,2022-11-06
CUST00235,50,Female,Germany,2023-10-15
CUST00236,18,Female,US,2023-07-08
CUST00237,36,Female,Brazil,2023-02-20
CUST00238,19,Male,Brazil,2020-08-18
CUST00239,61,Female,Ghana,2022-08-07
CUST00240,43,Female,Germany,2021-09-28
CUST00241,49,Female,India,2020-04-21
CUST00242,23,Male,Germany,2021-08-15
CUST00243,49,Male,Ghana,2023-06-23
CUST00244,21,Female,Germany,2022-05-08
CUST00245,28,Female,Ghana,2021-01-25
CUST00246,34,Female,Brazil,2021-01-26
CUST00247,55,Female,Ghana,2020-11-23
CUST00248,41,Female,Ghana,2023-05-23
CUST00249,22,Female,Germany,2022-01-16
CUST00250,69,Female,Germany,2021-01-01
CUST00251,51,Female,India,2020-03-22
CUST00252,23,Female,US,2022-03-16
CUST00253,39,Male,Ghana,2022-04-01
CUST00254,28,Male,,2023-01-04
CUST00255,65,Female,Germany,2022-08-09
CUST00256,33,Male,Germany,2021-01-06
CUST00257,50,Male,US,2023-07-12
CUST00258,26,Male,Ghana,2020-09-20
CUST00259,23,Male,India,2020-04-19
CUST00260,33,Male,Germany,2020-11-02
CUST00261,46,Male,US,2023-05-08
CUST00262,20,Female,Brazil,2020-08-13
CUST00263,37,Female,India,2020-07-03
CUST00264,53,Male,US,2022-08-21
CUST00265,36,Male,UK,2020-01-31
CUST00266,43,Female,UK,2021-09-05
CUST00267,20,Male,India,2020-04-08
CUST00268,36,Female,US,2023-09-24
CUST00269,37,Female,US,2022-03-21
CUST00270,49,Female,Germany,2023-07-13
CUST00271,24,Male,US,2021-10-13
CUST00272,69,Female,US,2022-03-24
CUST00273,58,Male,Ghana,2023-10-05
CUST00274,50,Female,India,2022-10-16
CUST00275,57,Female,Germany,2022-09-04
CUST00276,56,Male,Ghana,2024-01-20
CUST00277,35,Male,Germany,2020-03-28
CUST00278,57,Male,India,2022-12-22
CUST00279,18,Female,US,2022-07-10
CUST00280,28,Male,US,2023-11-11
CUST00281,45,Female,Ghana,2024-01-22
CUST00282,42,Male,UK,2021-08-08
CUST00283,67,Female,Germany,2022-03-28
CUST00284,40,Female,India,2022-07-20
CUST00285,48,Female,UK,2023-07-16
CUST00286,47,Female,US,2022-03-07
CUST00287,59,Male,US,2022-10-15
CUST00288,52,Male,India,2022-10-09
CUST00289,24,Female,Ghana,2022-08-30
CUST00290,33,Male,India,2021-09-24
CUST00291,43,Male,US,2020-12-11
CUST00292,65,Male,India,2021-12-24
CUST00293,69,Male,Brazil,2022-06-19
CUST00294,66,Male,UK,2023-01-06
CUST00295,19,Female,Ghana,2023-10-20
CUST00296,18,Male,,2022-11-03
CUST00297,65,Female,UK,2020-05-15
CUST00298,29,Male,India,2023-08-20
CUST00299,22,Female,US,2021-01-31
CUST00300,54,Male,India,2022-03-02
CUST00301,49,Female,US,2020-03-19
CUST00302,26,Female,,2021-12-05
CUST00303,58,Male,Germany,2022-09-08
CUST00304,52,Female,Germany,2023-12-12
CUST00305,36,,Germany,2023-06-19
CUST00306,65,Female,India,2022-12-10
CUST00307,33,Female,Ghana,2022-01-13
CUST00308,20,Male,Brazil,2021-01-18
CUST00309,37,Female,,2021-01-09
CUST00310,41,Male,Ghana,2020-07-24
CUST00311,50,Male,Brazil,2021-05-03
CUST00312,41,,India,2023-11-05
CUST00313,69,Male,India,2022-05-30
CUST00314,28,Female,Ghana,2023-08-27
CUST00315,66,Female,US,2023-10-30
CUST00316,25,Female,US,2021-09-23
CUST00317,53,,US,2021-08-14
CUST00318,55,Male,India,2022-12-01
CUST00319,57,Male,UK,2021-06-16
CUST00320,37,Male,Ghana,2021-06-05
CUST00321,52,Male,,2022-04-04
CUST00322,65,Male,UK,2023-03-22
CUST00323,42,Male,Ghana,2023-08-28
CUST00324,52,Female,US,2023-08-10
CUST00325,42,Female,US,2021-08-20
CUST00326,46,Male,Germany,2020-04-22
CUST00327,35,Female,India,2023-02-09
CUST00328,63,Male,Germany,2023-04-13
CUST00329,35,Male,US,2023-08-18
CUST00330,19,Female,India,2022-01-03
CUST00331,52,Female,UK,2023-05-29
CUST00332,33,Female,US,2023-04-09
CUST00333,58,Male,US,2020-11-13
CUST00334,53,Female,US,2022-09-22
CUST00335,50,Female,UK,2020-07-31
CUST00336,21,Female,US,2020-09-09
CUST00337,50,Female,,2020-05-03
CUST00338,31,Female,UK,2023-05-21
CUST00339,38,Female,US,2021-09-15
CUST00340,65,Female,US,2023-01-13
CUST00341,37,,India,2022-12-24
CUST00342,25,Female,US,2023-09-03
CUST00343,24,Male,Brazil,2023-10-01
CUST00344,20,Female,,2023-06-20
CUST00345,34,Male,US,2022-06-16
CUST00346,50,Male,Ghana,2023-03-06
CUST00347,65,Female,US,2020-09-03
CUST00348,29,Female,India,2021-03-16
CUST00349,68,Female,Ghana,2020-02-14
CUST00350,39,Male,UK,2021-10-19
CUST00351,39,Female,US,2022-05-29
CUST00352,63,Male,India,2022-10-13
CUST00353,47,,Ghana,2021-07-07
CUST00354,55,,US,2022-03-19
CUST00355,55,Female,India,2022-08-28
CUST00356,62,Female,India,2023-01-17
CUST00357,68,Female,Brazil,2021-12-30
CUST00358,25,Female,US,2022-10-17
CUST00359,44,Male,Germany,2022-08-11
CUST00360,44,Male,India,2023-06-05
CUST00361,51,Female,US,2023-08-07
CUST00362,38,Female,India,2023-12-16
CUST00363,47,Male,Ghana,2022-12-26
CUST00364,50,Female,Brazil,2023-06-28
CUST00365,45,Male,US,2022-11-30
CUST00366,64,Female,India,2020-04-08
CUST00367,50,Female,UK,2023-08-22
CUST00368,22,Female,,2022-05-21
CUST00369,65,Female,UK,2024-01-19
CUST00370,36,Male,,2020-10-27
CUST00371,21,Male,Brazil,2023-05-07
CUST00372,52,Female,UK,2021-05-02
CUST00373,66,Female,Germany,2023-02-03
CUST00374,34,Male,,2023-11-25
CUST00375,61,Female,UK,2022-10-01
CUST00376,45,Male,Ghana,2021-04-21
CUST00377,47,Female,India,2023-02-19
CUST00378,46,Female,UK,2023-01-05
CUST00379,63,Male,US,2023-08-28
CUST00380,23,Male,US,2023-02-09
CUST00381,52,Female,UK,2022-05-10
CUST00382,58,Female,Ghana,2022-03-19
CUST00383,54,Female,US,2021-06-01
CUST00384,41,Female,Brazil,2023-05-05
CUST00385,46,Female,Germany,2023-01-26
CUST00386,66,Other,US,2021-04-03
CUST00387,63,Female,India,2020-08-17
CUST00388,48,Female,India,2023-04-06
CUST00389,52,Male,,2020-01-08
CUST00390,50,Male,US,2023-04-10
CUST00391,69,Female,US,2023-10-15
CUST00392,38,Male,Brazil,2020-07-13
CUST00393,49,Female,Brazil,2023-07-16
CUST00394,40,Female,Germany,2022-11-08
CUST00395,50,Female,Germany,2020-12-19
CUST00396,20,Male,US,2022-12-08
CUST00397,35,Male,India,2021-04-08
CUST00398,42,Male,US,2020-12-21
CUST00399,59,Male,US,2022-04-29
CUST00400,48,Male,Germany,2022-08-31
CUST00401,20,Female,US,2023-03-27
CUST00402,57,Female,Ghana,2020-03-06
CUST00403,63,Female,Brazil,2022-05-08
CUST00404,41,Female,US,2021-07-24
CUST00405,67,Male,,2020-11-03
CUST00406,49,Female,,2023-09-22
CUST00407,64,Female,India,2022-02-21
CUST00408,39,Male,US,2020-04-30
CUST00409,40,Female,UK,2022-02-04
CUST00410,19,Male,Ghana,2023-11-28
CUST00411,44,Female,UK,2022-02-11
CUST00412,59,,UK,2020-04-05
CUST00413,19,Male,,2023-02-11
CUST00414,43,Female,US,2022-09-13
CUST00415,34,Female,Germany,2023-12-23
CUST00416,57,Other,US,2021-06-23
CUST00417,50,Male,India,2020-01-02
CUST00418,26,Female,Brazil,2023-05-20
CUST00419,60,Male,UK,2021-08-02
CUST00420,65,Male,US,2020-11-28
CUST00421,56,Male,India,2022-11-13
CUST00422,46,Other,Germany,2023-10-23
CUST00423,59,Female,India,2022-01-11
CUST00424,43,Female,UK,2021-05-20
CUST00425,52,Female,UK,2022-09-26
CUST00426,67,Male,,2023-04-14
CUST00427,42,Male,Brazil,2023-12-23
CUST00428,41,Male,Ghana,2022-01-02
CUST00429,30,Male,Germany,2024-01-05
CUST00430,24,Male,Ghana,2021-05-28
CUST00431,53,Male,Ghana,2022-06-13
CUST00432,62,Male,US,2020-12-26
CUST00433,37,Male,Ghana,2020-09-30
CUST00434,18,Male,India,2020-06-25
CUST00435,25,Male,US,2023-07-11
CUST00436,63,Other,Ghana,2023-04-24
CUST00437,33,Female,Germany,2021-06-10
CUST00438,31,Other,India,2022-07-01
CUST00439,29,Male,India,2020-10-05
CUST00440,68,Male,Brazil,2021-12-06
CUST00441,40,Female,US,2023-05-06
CUST00442,32,Male,India,2023-10-04
CUST00443,45,Male,Germany,2023-12-15
CUST00444,51,Male,India,2023-08-21
CUST00445,19,Male,UK,2020-03-04
CUST00446,49,Male,US,2020-10-16
CUST00447,40,Male,Brazil,2020-01-18
CUST00448,39,Female,Ghana,2020-03-04
CUST00449,68,Male,Brazil,2020-11-25
CUST00450,42,Male,India,2022-02-01
CUST00451,39,Female,India,2022-11-06
CUST00452,39,Male,Germany,2021-03-18
CUST00453,66,Male,India,2020-05-20
CUST00454,69,Female,UK,2023-08-24
CUST00455,59,Male,India,2021-03-19
CUST00456,23,Male,Germany,2021-05-10
CUST00457,32,Female,UK,2021-03-01
CUST00458,60,Male,UK,2024-02-07
CUST00459,54,Female,US,2023-06-22
CUST00460,50,Female,Brazil,2021-03-25
CUST00461,25,Male,US,2020-12-16
CUST00462,61,Female,India,2021-08-21
CUST00463,61,Female,Ghana,2021-12-11
CUST00464,22,Male,Ghana,2022-05-19
CUST00465,56,Female,India,2023-03-30
CUST00466,21,Male,US,2023-03-09
CUST00467,23,Female,India,2021-01-27
CUST00468,62,Male,Germany,2022-04-21
CUST00469,49,Male,Germany,2021-02-04
CUST00470,69,Male,US,2020-02-19
CUST00471,47,Female,Brazil,2022-01-13
CUST00472,64,Male,India,2023-08-11
CUST00473,52,Male,Brazil,2023-12-19
CUST00474,57,Male,Ghana,2022-06-24
CUST00475,69,Female,India,2022-11-01
CUST00476,33,Female,Brazil,2023-09-20
CUST00477,30,Female,Brazil,2022-09-17
CUST00478,67,Female,Ghana,2022-11-04
CUST00479,59,Female,UK,2020-01-28
CUST00480,47,Male,UK,2021-01-22
CUST00481,36,Female,UK,2023-08-08
CUST00482,34,Female,UK,2022-04-12
CUST00483,36,,UK,2020-09-06
CUST00484,45,Female,Brazil,2020-04-07
CUST00485,43,Male,US,2023-09-22
CUST00486,54,Male,India,2022-11-28
CUST00487,43,Female,US,2022-11-27
CUST00488,40,Female,UK,2023-08-16
CUST00489,26,Female,US,2020-06-27
CUST00490,29,Female,UK,2022-06-10
CUST00491,18,Female,Germany,2024-02-01
CUST00492,18,Male,Brazil,2023-07-29
CUST00493,64,Female,US,2022-01-19
CUST00494,51,Male,Ghana,2023-04-02
CUST00495,49,Male,Ghana,2021-03-28
CUST00496,65,Male,Brazil,2020-04-06
CUST00497,42,Female,Germany,2020-11-04
CUST00498,57,Male,India,2020-09-18
CUST00499,62,Male,India,2020-10-19
CUST00500,18,Female,Germany,2020-09-05
CUST00501,33,Male,US,2020-09-01
CUST00502,56,Female,Ghana,2020-09-07
CUST00503,22,Female,Brazil,2020-05-02
CUST00504,39,Female,Germany,2020-11-20
CUST00505,46,Female,India,2022-09-12
CUST00506,20,Male,India,2021-05-15
CUST00507,29,Female,UK,2021-11-17
CUST00508,43,Male,India,2022-12-25
CUST00509,33,Female,India,2022-04-15
CUST00510,68,Male,Ghana,2020-02-28
CUST00511,54,Female,Germany,2021-12-31
CUST00512,39,Male,Brazil,2023-10-28
CUST00513,46,Male,US,2020-09-22
CUST00514,31,Male,Ghana,2020-08-23
CUST00515,45,Male,Ghana,2022-06-16
CUST00516,22,Female,India,2020-08-05
CUST00517,64,Male,US,2024-01-04
CUST00518,66,Female,India,2023-11-30
CUST00519,47,Other,Brazil,2022-09-01
CUST00520,63,Female,Ghana,2021-08-11
CUST00521,69,Male,Brazil,2022-07-05
CUST00522,22,Male,,2024-02-01
CUST00523,29,Female,US,2022-07-06
CUST00524,33,Male,US,2023-02-07
CUST00525,43,Male,,2020-12-18
CUST00526,43,Female,,2020-03-31
CUST00527,65,Female,US,2023-12-08
CUST00528,38,Female,US,2021-12-02
CUST00529,56,Male,US,2020-03-13
CUST00530,53,Female,,2021-11-15
CUST00531,50,Male,US,2021-12-22
CUST00532,47,Male,India,2023-08-14
CUST00533,54,Female,Germany,2023-07-30
CUST00534,40,Male,US,2023-05-06
CUST00535,27,Male,India,2022-08-15
CUST00536,22,Male,UK,2022-11-21
CUST00537,53,Female,Brazil,2021-10-09
CUST00538,51,Female,UK,2022-01-29
CUST00539,69,Female,India,2022-05-20
CUST00540,48,Female,India,2023-09-26
CUST00541,27,Male,US,2023-09-19
CUST00542,36,Male,US,2020-05-22
CUST00543,49,Male,Ghana,2023-12-04
CUST00544,18,Male,UK,2022-08-06
CUST00545,22,Female,Germany,2020-02-13
CUST00546,62,Female,Germany,2020-02-01
CUST00547,21,Male,Ghana,2020-01-28
CUST00548,33,Male,India,2022-10-16
CUST00549,41,Male,India,2021-02-26
CUST00550,33,Male,Germany,2021-05-05
CUST00551,19,Female,Ghana,2020-06-08
CUST00552,66,Male,UK,2022-04-24
CUST00553,45,Male,UK,2023-05-15
CUST00554,49,Female,India,2020-01-18
CUST00555,44,Male,Ghana,2023-01-31
CUST00556,37,Female,Ghana,2021-11-02
CUST00557,41,Male,US,2020-08-19
CUST00558,29,Female,Germany,2021-02-27
CUST00559,67,,US,2022-06-22
CUST00560,52,Female,US,2022-01-24
CUST00561,50,Male,Ghana,2022-04-16
CUST00562,50,Female,US,2022-06-12
CUST00563,68,Male,India,2020-08-26
CUST00564,60,Male,UK,2023-09-19
CUST00565,54,Male,Ghana,2020-05-28
CUST00566,29,Male,India,2021-09-14
CUST00567,20,Female,US,2023-12-02
CUST00568,18,Female,US,2020-01-17
CUST00569,50,Female,Brazil,2022-07-02
CUST00570,57,Female,Ghana,2020-08-13
CUST00571,27,Female,Ghana,2021-10-13
CUST00572,60,Male,US,2020-09-16
CUST00573,61,Male,Ghana,2021-11-04
CUST00574,46,Female,India,2020-06-22
CUST00575,30,Male,India,2020-07-23
CUST00576,29,Female,Germany,2021-02-18
CUST00577,48,Male,US,2023-03-22
CUST00578,63,Male,UK,2023-01-31
CUST00579,19,Male,Germany,2022-03-02
CUST00580,68,Male,Brazil,2022-12-24
CUST00581,67,Male,US,2023-02-14
CUST00582,52,Female,Ghana,2023-03-25
CUST00583,40,Male,US,2023-01-10
CUST00584,34,Female,US,2021-06-01
CUST00585,43,Male,UK,2022-12-26
CUST00586,25,Male,US,2023-06-15
CUST00587,46,Male,Germany,2022-09-05
CUST00588,43,Female,India,2022-10-06
CUST00589,27,Male,US,2023-09-11
CUST00590,43,Female,US,2021-08-12
CUST00591,51,Male,Germany,2020-03-07
CUST00592,68,Female,US,2023-04-14
CUST00593,58,Male,India,2021-11-14
CUST00594,24,Female,UK,2023-07-02
CUST00595,21,Female,India,2020-03-03
CUST00596,67,Female,UK,2022-03-24
CUST00597,62,Male,US,2021-02-06
CUST00598,28,Male,US,2020-07-10
CUST00599,46,Male,US,2023-09-14
CUST00600,53,Female,Ghana,2020-03-11
CUST00601,42,Female,India,2022-05-27
CUST00602,38,Female,UK,2022-01-10
CUST00603,53,Male,US,2022-08-03
CUST00604,27,Male,India,2022-12-22
CUST00605,54,Male,India,2023-08-13
CUST00606,26,Other,,2020-09-01
CUST00607,41,Female,India,2021-06-02
CUST00608,52,Female,Ghana,2021-01-27
CUST00609,66,Male,India,2022-02-10
CUST00610,52,Female,Brazil,2023-04-15
CUST00611,65,Female,Germany,2023-05-12
CUST00612,53,Male,UK,2022-06-29
CUST00613,35,Female,US,2023-02-25
CUST00614,66,Female,UK,2023-05-03
CUST00615,56,Female,India,2023-05-02
CUST00616,49,Female,Germany,2020-07-02
CUST00617,41,Male,India,2020-09-03
CUST00618,40,Male,US,2020-11-19
CUST00619,49,Other,Germany,2020-06-08
CUST00620,54,Male,Germany,2021-12-06
CUST00621,29,Female,UK,2021-09-13
CUST00622,66,Female,India,2022-07-13
CUST00623,30,Female,Ghana,2020-03-06
CUST00624,40,,Brazil,2022-07-18
CUST00625,42,Male,Germany,2020-09-10
CUST00626,52,Male,India,2020-10-09
CUST00627,58,Male,India,2022-12-19
CUST00628,47,Male,Brazil,2020-04-27
CUST00629,34,Male,Ghana,2021-02-26
CUST00630,66,Male,UK,2021-07-09
CUST00631,37,Female,Germany,2020-02-05
CUST00632,65,Female,US,2021-06-14
CUST00633,42,Male,UK,2020-03-31
CUST00634,39,Male,Brazil,2023-08-17
CUST00635,30,Female,Germany,2023-05-25
CUST00636,36,Male,Ghana,2020-04-07
CUST00637,66,Male,US,2024-01-19
CUST00638,53,Male,UK,2021-06-14
CUST00639,29,Female,UK,2021-06-21
CUST00640,58,Male,US,2022-11-17
CUST00641,36,Other,Germany,2023-09-09
CUST00642,29,Male,UK,2023-05-31
CUST00643,26,Female,Ghana,2020-03-20
CUST00644,24,Male,UK,2021-07-16
CUST00645,45,Male,,2024-01-21
CUST00646,31,Female,UK,2021-09-05
CUST00647,48,Female,US,2020-06-24
CUST00648,69,Female,US,2021-06-05
CUST00649,36,Female,India,2024-01-20
CUST00650,64,Female,India,2021-02-26
CUST00651,33,Female,Ghana,2023-01-28
CUST00652,22,Female,Ghana,2023-11-27
CUST00653,52,Male,US,2021-07-29
CUST00654,29,Male,India,2023-11-04
CUST00655,42,Male,India,2021-06-14
CUST00656,69,Female,US,2020-11-27
CUST00657,38,Male,US,2023-09-03
CUST00658,53,Male,US,2021-10-14
CUST00659,40,Female,US,2022-01-09
CUST00660,33,Female,India,2023-01-17
CUST00661,56,Female,US,2021-05-25
CUST00662,62,Male,UK,2020-02-11
CUST00663,59,Female,US,2022-06-03
CUST00664,56,Male,,2023-11-13
CUST00665,31,Male,Brazil,2020-03-21
CUST00666,48,Male,US,2021-02-05
